Dependency,Version Specifier,Python Version
bytecode @ https://github.com/p403n1x87/bytecode/archive/refs/heads/feat/python-315.tar.gz,,python_version>='3.15'
bytecode,">=0.17.0,<1",python_version>='3.14' and python_version<'3.15'
bytecode,">=0.16.0,<1",python_version>='3.13' and python_version<'3.15'
bytecode,">=0.15.1,<1",python_version~='3.12.0'
bytecode,">=0.14.0,<1",python_version~='3.11.0'
bytecode,">=0.13.0,<1",python_version<'3.11'
envier,~=0.6.1,
opentelemetry-api,">=1,<2",
wrapt,">=1,<3",
opentracing,">=2,<3",
opentelemetry-exporter-otlp,">=1,<2",
